TIC,Star Name,Planet Name,Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star TESS Mag,Star RA,Star Dec,TFOPWG Disposition,Creation Date,Planet Radius [Re],Planet Radius Error Lower [Re],Planet Radius Error Upper [Re],Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hr],Transit Duration Error Lower [hr],Transit Duration Error Upper [hr],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Rp/Rs,TOI Disposition,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Public Comment,Sectors,FP_Flag,Known,EB,VS,NASA PC,Assumed Parameters,Star Mass [Ms],Star Metallicity,Star V Mag,Star T Mag,Star J Mag,Star H Mag,Star Ks Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Mass Flag,Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Me],Planet Mass [Mjup],Planet Mass Error Upper [Mjup],Planet Mass Error Lower [Mjup],Planet Radius [Rjup],Planet Radius Error Upper [Rjup,Planet Radius Error Lower [Rjup],Planet Semi-major Axis [au],Planet Semi-major Axis [m],a/Rs,Eccentricity,Inclination,Periastron,Impact Parameter,Planet Albedo,Heat Redistribution Factor,Mean Molecular Weight,Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Transit Duration T14 [s],Eclipse Duration E14 [s],Planet Insolation Flux [W/m2],Planet Insolation Flux [Earth],Eclipse Mid Time,Available Transits,Available Eclipses,Planet Temperature [K],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier
253728991,TOI-1081,TOI-1081.01,6027,-192,192,1.23975,-1.23975,1.23975,4.29978,-2.0042,2.0042,354.05,,,11.5247,282.140409,-40.11177,PC,16/08/2019 20:20,10.59291945,-11.475316,11.475316,2458654.026,-0.002567,0.002567,0.613623166,-0.031589865,0.031589865,3.109528,-0.110696,0.110696,2.98278,-0.000442,0.000442,0.078334103,PC,3,4,3,3,4,4,4,2019-08-16 20:20:44+00:00,2019-08-16 20:20:44+00:00,,[13],0,0,0,0,TRUE,"Star Mass, ",1.180652017,,12.093,11.5247,10.915,10.632,10.556,10.495,10.536,10.477,TRUE,441.88,-157.62,246.07,0.774222804,1.390309962,-0.495927981,0.945038599,1.023760882,-1.023760882,0.042869303,6413156512,7.435594861,0,90,0,0,0.2,0.8,2.3,97.9,175.7,62.6,11194.3008,11194.3008,1352433.019,993.5782981,2458655.518,124,125,1562.889719,8,108,214,1,10,21,Eclipse,1,10,21,0,0,0,2
261108236,TOI-1082,TOI-1082.01,4095,-173,173,0.649613,-0.0616131,0.0616131,4.61894,-0.230511,0.230511,100.248,-0.25385,0.25385,11.8835,83.275809,-80.815478,PC,16/08/2019 20:20,3.332880455,-0.3785092,0.3785092,2458626.086,-0.003152,0.003152,0.221242573,-0.010720914,0.010720914,3.5865698,-0.2242998,0.2242998,16.3469053,-5.04E-05,5.04E-05,0.04703643,PC,2,4,1,1,4,4,4,2019-08-16 20:20:45+00:00,2024-03-11 12:31:14.145000+00:00,L1 candidate,"[1, 4, 8, 11, 12, 13, 27, 28, 31, 38, 39, 61, 62, 65, 66, 67]",0,0,0,0,TRUE,,0.64,,13.217,11.8835,10.715,10.106,9.941,9.842,9.875,9.711,TRUE,10.38,-6.02,14.33,0.045087222,0.032659132,-0.018941038,0.297340189,0.033768387,-0.033768387,0.108632842,16251241781,35.95918507,0,90,0,0,0.2,0.8,2.3,4.9,3.5,2,12911.65128,12911.65128,12307.70757,9.041979135,2458634.259,75,76,482.8741846,10,122,249,4550,35571,59855,Transit,10,122,249,0,0,0,1
381979901,TOI-1085,TOI-1085.01,6102,-193,193,1.27589,,,4.28649,-2.00486,2.00486,444.066,,,11.6577,77.605399,-59.535664,APC,16/08/2019 20:20,16.24173673,,,2460041.175,-0.00086,0.00086,1.362,-1.18E-05,1.18E-05,4.341,-0.018,0.018,3.2541181,-8.00E-07,8.00E-07,0.116704756,PC,3,4,3,3,4,4,4,2019-08-16 20:20:49+00:00,2023-07-12 16:56:11.774000+00:00,TFOP APC/SB2; 1000pm secondary; phased,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64]",0,0,0,0,TRUE,"Star Mass, ",1.217048118,,12.197,11.6577,11.139,10.891,10.862,10.821,10.841,10.835,TRUE,402.03,-186.85,350.32,1.102229986,1.26492784,-0.587895846,1.448993189,,,0.045896997,6866093047,7.735251658,0,90,0,0,0.2,0.8,2.3,132.6,152.2,70.8,15627.6,15627.6,1313082.487,964.6690401,2460042.802,382,383,1551.386406,1,21,41,1,3,5,Eclipse,1,3,5,0,0,0,2
468148930,TOI-1086,TOI-1086.01,5787,-190,190,2.084,-0.106131,0.106131,3.8173,-2.00353,2.00353,736.397,-11.06,11.06,12.2303,305.56982,-88.568495,PC,16/08/2019 20:20,15.85487044,-0.8573183,0.8573183,2458655.291,-0.000741,0.000741,0.486484051,-0.007977315,0.007977315,5.5277827,-0.1120406,0.1120406,3.7178828,-4.10E-06,4.10E-06,0.069748409,PC,3,4,3,3,4,4,4,2019-08-16 20:20:50+00:00,2024-04-24 21:32:13.119000+00:00,,"[13, 27, 66, 67]",0,0,0,0,TRUE,,1.04,,12.897,12.2303,11.485,11.187,11.058,11.039,11.066,11.17,TRUE,423.18,-193.69,356.49,1.121642977,1.331473182,-0.609416893,1.41447923,0.076484947,-0.076484947,0.04760197,7121153284,4.91168624,0,90,0,0,0.2,0.8,2.3,143.4,170.1,77.8,19900.01772,19900.01772,2634273.613,1935.295173,2458657.15,271,271,1846.388882,8,110,217,1,8,16,Eclipse,1,8,16,0,0,0,2
193413306,TOI-1091,TOI-1091.01,7348,-133.8,133.8,2.38732,-0.09,0.09,3.90496,-0.09,0.09,321.671,-3.7845,3.7845,9.3529,222.101134,-56.025931,PC,06/08/2019 19:29,13.55582523,-3.57813,3.57813,2459359.555,-0.003007,0.003007,0.271,-0.018113,0.018113,3.674,-0.322,0.322,1.725841,-1.65E-05,1.65E-05,0.05205766,PC,3,4,3,3,4,4,4,2019-08-06 19:29:59+00:00,2024-09-08 16:31:21.585000+00:00,crowded field; marginal secondary,"[11, 12, 38]",0,0,0,0,TRUE,,1.67,,9.71,9.3529,8.861,8.724,8.643,8.598,8.624,8.669,TRUE,592.34,-238.32,398.35,1.253349266,1.863710064,-0.749838577,1.209371803,0.319219926,-0.319219926,0.0334152,4998842837,3.009794491,0,90,0,0,0.2,0.8,2.3,150.9,224.3,90.2,13226.4,13226.4,18241698.42,13401.44422,2459360.418,262,262,2994.923464,4,33,66,1,1,2,Eclipse,1,1,2,0,0,0,3
136274063,TOI-1094,TOI-1094.01,7710,-140.2,140.2,2.28468,-0.09,0.09,3.9781,-0.08,0.08,426.003,-9.675,9.675,9.9806,230.498827,-53.819601,APC,06/08/2019 19:29,7.517557443,-0.96597,0.96597,2459360.161,-0.001302,0.001302,0.091,-0.00127147,0.00127147,0.468,-0.109,0.109,0.5971314,-1.40E-06,1.40E-06,0.030166206,PC,3,4,3,3,4,4,4,2019-08-06 19:29:59+00:00,2022-10-04 20:51:50.321000+00:00,,"[12, 38]",0,0,0,0,TRUE,,1.81,,10.286,9.9806,9.531,9.382,9.364,9.174,9.193,9.447,TRUE,82.66,-30.47,48.42,0.152346357,0.260077445,-0.095869341,0.670672706,0.086178219,-0.086178219,0.016912928,2530138078,1.591830565,0,90,0,0,0.2,0.8,2.3,24.8,42.2,15.5,1684.8,1684.8,79050808.5,58075.45858,2459360.459,720,719,4321.066604,6,91,185,4,53,106,Eclipse,4,53,106,0,0,0,1
375223080,TOI-1095,TOI-1095.01,7066,-133.7,133.7,2.66473,-0.10601,0.10601,3.77988,-0.09,0.09,582.521,-7.7425,7.7425,10.4291,133.968965,-75.926187,PC,12/08/2019 16:22,13.32809531,-0.5647548,0.5647548,2459307.386,-0.000265,0.000265,0.210265683,-0.003064352,0.003064352,2.1867078,-0.0338256,0.0338256,1.4821386,-1.40E-06,1.40E-06,0.045854736,PC,3,4,3,3,4,4,4,2019-08-12 16:22:54+00:00,2024-12-05 17:19:08.459000+00:00,,"[10, 11, 12, 37, 39, 63, 64, 65, 66]",0,0,0,0,TRUE,,1.56,,10.753,10.4291,9.877,9.76,9.661,9.552,9.557,9.522,TRUE,611.25,-242.5,402.84,1.267476386,1.923207578,-0.762990327,1.189055065,0.050384135,-0.050384135,0.029513046,4415088777,2.381574798,0,90,0,0,0.2,0.8,2.3,168,254.8,101.1,7872.14808,7872.14808,24912073.44,18301.90123,2459308.127,841,841,3237.624832,17,227,461,1,7,13,Eclipse,1,7,13,0,0,0,2
351603103,TOI-1103,TOI-1103.01,4437,-124,124,3.12602,,,,,,320.212,-3.4725,3.4725,10.5598,310.086743,-63.789963,PC,15/08/2019 15:39,22.84786384,,,2459037.656,-0.002636,0.002636,0.449,-0.133209,0.133209,4.073,-0.128,0.128,2.94308,-1.00E-05,1.00E-05,0.067007462,PC,3,4,3,3,4,4,4,2019-08-15 15:39:13+00:00,2022-07-11 15:43:33.728000+00:00,TOI 1103 under investigation no observing notes ,"[13, 27]",0,0,0,0,TRUE,"Star Mass, ",4.57766572,,11.579,10.5598,9.373,8.696,8.562,8.513,8.526,8.38,TRUE,196.63,-115.1,275.66,0.867323355,0.618667167,-0.3621451,2.038353387,,,0.066738529,9983941895,4.590799114,0,90,0,0,0.2,0.8,2.3,44.6,31.8,18.6,14662.8,14662.8,1041199.693,764.927656,2459039.127,171,170,1464.300755,1,9,17,1,2,3,Eclipse,1,2,3,0,0,0,3
274151135,TOI-1105,TOI-1105.01,4664,-125.9,125.9,0.755833,-0.06,0.06,4.55045,-0.09,0.09,79.5225,-0.18475,0.18475,10.2809,146.053969,-89.471513,PC,15/08/2019 15:39,3.248944231,-0.252816,0.252816,2460086.979,-0.003941,0.003941,0.1553,-0.0109838,0.0109838,2.375,-0.645,0.645,10.8680523,-3.80E-05,3.80E-05,0.039408121,PC,2,4,1,1,4,4,4,2019-08-15 15:39:14+00:00,2024-09-06 18:36:30.742000+00:00,L1 candidate; TFOP VP,"[12, 13, 27, 39, 65, 66, 67]",0,0,0,0,TRUE,,0.74,,11.329,10.2809,9.446,8.91,8.762,8.663,8.751,8.67,TRUE,9.77,-5.74,13.86,0.043608437,0.030739858,-0.01806006,0.289851888,0.022554772,-0.022554772,0.086853551,12993106271,24.70956715,0,90,0,0,0.2,0.8,2.3,4.9,3.4,2,8550,8550,43887.96909,32.24273071,2460092.413,96,96,663.4542417,6,71,141,425,2654,4768,Transit,6,71,141,0,0,0,1
261369656,TOI-1119,TOI-1119.01,6456,-127.2,127.2,2.06848,-0.1,0.1,3.92404,-0.09,0.09,421.518,-7.0305,7.0305,10.5024,292.604815,-46.278074,APC,22/08/2019 14:42,13.96308534,-8.82147,8.82147,2458666.522,-0.00188,0.00188,0.383,-0.147742,0.147742,3.588,-0.259,0.259,10.95663,-0.00203,0.00203,0.061886994,PC,3,4,3,3,4,4,4,2019-08-22 14:42:11+00:00,2020-05-20 19:58:56.948000+00:00,,[13],0,0,0,0,TRUE,,1.31,-0.42,10.937,10.5024,10.006,9.777,9.703,9.659,9.676,9.607,TRUE,557.53,-229.86,390.2,1.227706498,1.754185556,-0.72322044,1.245705178,0.787000193,-0.787000193,0.105666891,15807541935,10.98477114,0,90,0,0,0.2,0.8,2.3,93.8,134.1,55.3,12916.8,12916.8,815950.9705,599.4464533,2458672,35,35,1377.377605,16,202,399,3,22,43,Eclipse,3,22,43,0,0,0,1
469782185,TOI-1123,TOI-1123.01,5471,-156.3,156.3,1.24212,-0.07,0.07,4.23201,-0.08,0.08,161.932,-2.2055,2.2055,10.2398,292.391505,-37.304009,APC,22/08/2019 14:42,14.76970772,-4.0994,4.0994,2458658.041,-0.00026,0.00026,1.18838,-0.0825818,0.0825818,1.886,-0.025,0.025,1.20928,-2.00E-05,2.00E-05,0.109012843,PC,3,4,3,3,4,4,4,2019-08-22 14:42:10+00:00,2019-08-22 14:42:10+00:00,Large candidate,[13],0,0,0,0,TRUE,,0.96,,11.154,10.2398,9.412,9.036,8.921,8.843,8.849,8.791,TRUE,497.49,-213.75,374.93,1.179661705,1.56527859,-0.672532711,1.31766733,0.365724601,-0.365724601,0.021921945,3279476307,3.795062562,0,90,0,0,0.2,0.8,2.3,231.2,306.9,131.9,6789.6,6789.6,3524380.14,2589.220739,2458658.646,302,301,1985.830822,1,8,15,1,1,1,Eclipse,1,1,1,0,0,0,3
80166433,TOI-1125,TOI-1125.01,8271,-143.9,143.9,2.50273,-0.0856759,0.0856759,3.94873,-0.07,0.07,237.593,-4.3795,4.3795,8.0465,298.287708,-46.369991,PC,22/08/2019 14:42,3.968366226,-0.5104,0.5104,2459036.495,-0.000802,0.000802,0.021131685,-0.001435204,0.001435204,1.3744974,-0.1910592,0.1910592,0.7724825,-6.80E-06,6.80E-06,0.014536741,PC,3,4,4,3,4,4,4,2019-08-22 14:42:10+00:00,2024-04-24 20:46:16.789000+00:00,period updated to 0.77 d with spoc-s01-s69; period likely too short to be planetary,"[13, 27, 67]",0,0,0,0,TRUE,,2.03,,8.181,8.0465,7.838,7.801,7.771,7.722,7.741,7.764,TRUE,16.23,-8.59,18.14,0.057074823,0.051065291,-0.027027163,0.35403453,0.045534916,-0.045534916,0.020862325,3120959443,1.792470935,0,90,0,0,0.2,0.8,2.3,7.9,7,3.7,4948.19064,4948.19064,82572433.51,60662.65523,2459036.881,504,507,4368.345316,7,71,140,13,95,187,Transit,7,71,140,0,0,0,1
89389197,TOI-1137,TOI-1137.01,5075,-59,59,6.30703,,,,,,419.435,-5.153,5.153,9.00558,301.17768,30.409951,PC,03/09/2019 15:31,22.31779468,-34.22737,34.22737,2459770.241,-0.001608,0.001608,0.10524256,-0.007895927,0.007895927,1.6000996,-0.1169892,0.1169892,1.3206356,-0.0001541,0.0001541,0.03244111,PC,5,5,5,5,5,5,5,2019-09-03 15:31:11+00:00,2022-10-11 18:05:46.123000+00:00,star is a giant; also matched to 1963523488,"[14, 54]",0,0,0,0,TRUE,"Star Mass, ",11.94346507,,9.857,9.00558,8.088,7.625,7.55,7.422,7.536,7.521,TRUE,201.21,-116.97,280.28,0.881859501,0.633077459,-0.368028778,1.991063703,3.053566673,-3.053566673,0.053848883,8055678253,1.835926167,0,90,0,0,0.2,0.8,2.3,31.3,22.4,13,5760.35856,5760.35856,11148067.05,8190.037757,2459770.901,429,431,2648.460151,5,47,93,1,3,7,Eclipse,1,3,7,0,0,0,2
